Longitude,Latitude,Housing Median Age,Total Rooms,Total Bedrooms,Population,Households,Median Income,Median House Value,Ocean Proximity
-71.1108,42.2995,25,17940,6926,15885,2539,9.2248,154049.35,NEAR OCEAN
-71.1752,42.2807,38,22585,7974,13317,4448,1.0865,301832.48,RIVER
-70.9682,42.3909,23,24860,10061,9683,255,14.4988,233410.38,NEAR BAY
-70.8924,42.2405,51,15745,5302,25831,2834,7.6629,228349.76,INLAND
-70.9323,42.3625,3,6272,2311,38,8,9.9865,89320.16,ISLAND
-70.8793,42.3057,52,14318,5455,6560,3037,13.4277,203779.78,INLAND
-70.9212,42.2771,20,9247,3603,26362,6439,7.7644,385779.83,ISLAND
-71.0654,42.3942,36,27199,11681,16714,6755,14.2468,384952.83,NEAR BAY
-70.9998,42.3083,11,5292,2379,13017,5040,12.3963,277424.86,NEAR OCEAN
-71.0966,42.3378,25,34253,14851,3943,1278,14.1831,330727.8,NEAR OCEAN
-71.1532,42.3221,4,17737,6630,18057,3396,13.0088,121214.36,ISLAND
-71.074,42.3207,12,334,112,23848,2302,7.9294,475519.59,ISLAND
-70.8695,42.3797,18,38794,18166,29167,2673,4.4214,381048.03,NEAR BAY
-71.126,42.3752,21,16976,7198,32955,1962,13.3967,289238.24,INLAND
-71.0036,42.3385,38,11618,3516,15863,5260,12.8441,51574.06,NEAR BAY
-71.1724,42.2298,10,12500,6111,30566,243,1.2049,411627.5,RIVER
-70.8976,42.3332,12,9301,3906,25611,1187,5.5759,80649.32,RIVER
-71.1366,42.2878,51,38910,16404,10024,4799,3.7504,27868.29,RIVER
-70.8128,42.2546,32,15565,4784,12158,5081,7.3425,490980.13,INLAND
-70.8578,42.2504,5,19154,8034,9761,4142,2.1983,313264.59,NEAR OCEAN
-71.0335,42.3505,35,690,230,32360,4887,6.491,80061.54,ISLAND
-70.8981,42.3322,48,23042,9679,19886,5710,12.7656,116686.57,INLAND
-71.0641,42.2881,10,17289,7048,28344,13377,3.4989,53764.4,NEAR OCEAN
-71.0674,42.3823,21,35545,13836,20062,559,5.709,484967.64,RIVER
-71.0529,42.2419,14,7257,2674,4202,446,14.2192,472587.09,INLAND
-71.1395,42.3192,33,17622,5844,31243,9262,1.9483,52117.85,ISLAND
-71.0097,42.2662,26,1158,406,12344,1501,6.8982,208526.19,ISLAND
-70.8417,42.2773,6,21835,8690,29041,86,0.7865,379290.98,NEAR OCEAN
-71.015,42.3737,39,30865,9773,29015,4564,2.5184,258680.71,RIVER
-71.1217,42.3264,15,690,302,7172,3330,3.0583,202649.26,NEAR BAY
-70.9643,42.3471,20,33698,11326,18638,8543,3.7227,297624.19,NEAR BAY
-71.0791,42.2559,11,20657,10284,1846,397,12.4523,345022.8,RIVER
-71.1198,42.2958,49,28860,13215,21083,101,1.8597,197372.43,RIVER
-71.0074,42.2778,39,12962,6283,18370,7018,7.2843,389073.56,ISLAND
-71.1308,42.2583,9,19231,8468,13417,2540,2.1516,156986.87,INLAND
-71.0721,42.3686,4,36564,16072,10785,1924,7.494,341992.71,RIVER
-71.0714,42.2338,48,13875,5049,25025,12020,9.9805,436203.78,ISLAND
-71.0457,42.3605,22,27939,8564,5256,2373,8.318,249065.67,NEAR BAY
-70.9754,42.3184,23,33987,14595,23883,10626,1.6695,286129.89,ISLAND
-71.0692,42.2979,42,21721,10828,34670,6242,4.9414,287090.55,NEAR BAY
-71.0639,42.3938,47,34853,13893,7668,2139,13.9146,101719.0,ISLAND
-70.91,42.2629,47,9114,3982,9284,771,3.5803,316780.79,RIVER
-70.993,42.3061,11,38762,16860,33073,6994,6.2405,273979.74,RIVER
-71.0948,42.3588,43,30476,9809,9327,2313,4.7346,223296.46,ISLAND
-71.1032,42.2764,6,36572,16388,24617,11172,10.6508,83582.68,RIVER
-71.1752,42.302,6,17034,5782,23747,4554,2.0479,264578.99,RIVER
-71.1056,42.2688,37,25672,9898,28048,10411,12.2341,283430.27,NEAR OCEAN
-70.9828,42.3887,28,19943,8368,26064,9045,12.449,398225.23,RIVER
-71.0557,42.2803,23,38689,14632,17493,5028,7.8392,218967.72,NEAR BAY
-70.9749,42.2725,41,26483,11378,30393,13652,5.3709,382980.59,NEAR OCEAN
-70.8747,42.3467,47,29865,9266,17140,2594,8.9785,451829.4,NEAR BAY
-71.0805,42.2919,32,9391,3761,24294,6610,12.2749,20299.57,INLAND
-70.9363,42.3308,42,19108,7677,3463,882,12.042,461424.72,INLAND
-71.1149,42.2812,7,11581,5723,5769,1544,5.5432,195839.13,NEAR OCEAN
-71.1216,42.3463,35,635,214,12288,4390,11.3157,447644.36,ISLAND
-70.8272,42.2531,2,28645,8647,12604,2693,8.9266,188099.28,RIVER
-71.0528,42.2718,27,14757,7069,27612,10852,10.873,42820.9,ISLAND
-70.8204,42.3269,49,5862,2008,35302,9378,4.4535,297953.7,ISLAND
-70.924,42.3554,14,1580,735,881,188,5.8442,221922.61,RIVER
-70.8417,42.3568,41,14477,5737,34107,13456,6.3044,199973.58,NEAR BAY
-70.8804,42.2299,32,30189,14444,34127,11297,13.4713,106551.22,NEAR BAY
-71.0453,42.3244,18,2140,684,11749,498,1.3669,487906.46,NEAR OCEAN
-70.8332,42.3362,51,5986,2919,6923,97,3.5641,132682.48,NEAR OCEAN
-71.1856,42.3031,5,10494,4984,35325,70,8.5959,461086.99,NEAR OCEAN
-71.0721,42.2791,41,1922,813,9737,621,5.146,114601.3,ISLAND
-71.053,42.3309,12,9957,4370,7476,3627,11.6187,413465.5,NEAR OCEAN
-70.881,42.354,31,3040,1180,18804,2349,2.8275,482474.37,NEAR BAY
-71.1709,42.3182,36,1351,601,18788,6889,1.4002,424435.91,NEAR BAY
-70.8752,42.2588,31,21364,6702,15951,2481,5.3419,316742.69,RIVER
-71.0904,42.3925,38,25126,12064,31,6,5.9268,470484.21,NEAR BAY
-71.1399,42.2504,7,10123,3858,14682,3086,6.9012,180657.14,NEAR BAY
-70.8523,42.2713,1,35985,17883,32943,12577,5.325,351378.77,NEAR BAY
-70.8248,42.3676,9,25445,11346,29766,9844,13.8308,27666.51,INLAND
-71.0779,42.362,25,4390,2013,14718,6215,5.2993,322174.45,NEAR OCEAN
-70.9479,42.3886,22,1919,794,33515,15501,7.9514,135664.19,RIVER
-70.8775,42.3811,35,5113,2333,6822,672,10.2723,285544.26,INLAND
-70.8818,42.2484,34,12817,5499,35111,738,4.3346,110349.37,ISLAND
-71.0385,42.2929,46,33734,11310,25843,2893,14.7615,66540.14,NEAR OCEAN
-71.158,42.2536,45,7092,2442,23258,8541,5.2759,322200.42,NEAR BAY
-70.9103,42.2908,23,2902,922,17981,6139,3.0992,195418.44,ISLAND
-70.8692,42.2573,33,35062,12213,13137,3849,13.9178,211170.23,RIVER
-71.0601,42.3732,48,9233,3747,12525,5459,8.6646,72405.19,NEAR BAY
-71.0336,42.3255,49,13693,4163,29908,2434,14.8448,446794.2,RIVER
-71.1649,42.2784,37,27114,13467,8534,3857,0.5772,473580.75,ISLAND
-71.1521,42.393,43,4361,1366,14021,3728,10.1035,19114.38,RIVER
-71.0715,42.349,37,31106,9979,29938,3761,4.1284,97070.33,RIVER
-71.0701,42.3335,10,11112,5513,8643,4201,1.5418,352078.6,ISLAND
-70.8807,42.241,33,888,320,2469,1139,8.6459,272492.86,ISLAND
-70.9055,42.3261,1,32301,13529,2706,150,2.2911,231168.76,NEAR BAY
-70.8326,42.2951,28,11348,3895,24037,5796,4.7084,79387.74,NEAR BAY
-71.1571,42.2325,15,10856,5278,19198,147,5.1403,202555.13,ISLAND
-71.1813,42.3467,33,8304,2628,29929,14867,10.7089,251613.38,INLAND
-70.8188,42.2738,44,27609,9618,17108,6436,4.9818,91530.19,RIVER
-71.0225,42.2297,14,10183,3265,19278,6647,13.0845,133713.65,NEAR OCEAN
-71.0634,42.3699,19,16439,5403,977,301,3.2552,396258.98,NEAR BAY
-71.0492,42.3292,44,39210,14319,25742,9000,14.92,17677.86,RIVER
-70.9522,42.3594,34,4178,2052,30482,10997,2.4767,351404.47,INLAND
-71.0535,42.3104,31,5892,2359,29598,14762,6.593,205079.69,INLAND
-71.1695,42.2475,36,1157,441,24893,7431,3.2858,320129.58,INLAND
-70.9658,42.3926,4,30153,10242,2044,122,1.8898,67416.84,NEAR OCEAN
-71.1355,42.3395,47,247,76,26258,1722,11.9024,481781.37,INLAND
-70.906,42.3598,17,18650,7949,27234,979,3.6542,130446.76,NEAR OCEAN
-71.1859,42.3433,48,18924,8572,749,207,11.9228,322205.47,ISLAND
-70.8585,42.343,37,7443,3347,7432,3476,5.9839,83904.04,NEAR OCEAN
-70.883,42.3394,21,28036,8866,1016,143,4.339,323638.94,NEAR OCEAN
-70.8814,42.3467,36,8685,4000,34930,11176,1.6351,283282.24,RIVER
-71.0341,42.3421,36,13447,6503,9781,622,8.4474,291749.41,RIVER
-70.8247,42.2469,37,24537,10126,21451,8299,7.6858,485542.45,INLAND
-71.0536,42.3097,51,2684,1079,1181,179,1.6782,270186.11,INLAND
-70.8819,42.2713,21,37554,16158,455,212,1.3689,474957.28,ISLAND
-70.8278,42.3927,29,10436,4806,26412,4929,7.5515,170256.55,NEAR OCEAN
-70.9976,42.2623,27,13849,5641,2575,661,2.9807,221777.75,ISLAND
-70.9266,42.2316,26,19209,7662,35419,1512,3.6691,388063.03,INLAND
-70.9945,42.2423,16,26122,10286,31559,10098,3.2259,49943.85,NEAR OCEAN
-70.9908,42.3645,12,13639,6122,12236,4010,12.3729,426080.16,RIVER
-71.1114,42.3165,34,26418,8578,1253,465,12.2992,390082.43,NEAR BAY
-71.191,42.3811,35,20511,7024,3330,1018,2.6963,162156.44,NEAR OCEAN
-70.8686,42.2911,22,19992,6185,27737,8426,12.4229,307317.66,RIVER
-70.9902,42.3587,10,18913,6426,34115,10345,12.8698,261675.9,ISLAND
-70.8168,42.3429,23,24551,10277,18388,5503,12.8091,276125.54,ISLAND
-71.0564,42.3745,19,10365,5107,10964,2503,10.4064,137658.64,RIVER
-70.8509,42.2475,45,633,273,34667,11548,3.5061,458076.79,NEAR BAY
-71.135,42.2819,43,37144,12923,19564,841,12.743,73990.8,NEAR BAY
-71.0117,42.2743,46,209,90,12575,4898,8.705,317691.08,RIVER
-71.0344,42.324,13,11827,5615,11303,3882,11.1909,178309.76,INLAND
-70.9423,42.2522,14,12864,5619,15178,7283,13.3478,86133.7,NEAR OCEAN
-71.0434,42.3093,50,36308,17355,3592,893,9.1862,115393.29,INLAND
-71.0394,42.3169,37,10561,4664,22043,7437,13.1498,353567.69,NEAR BAY
-70.9623,42.2827,35,12433,5488,1083,137,13.4835,126820.48,INLAND
-70.8798,42.3868,14,36842,16016,6491,1671,13.8628,345397.05,NEAR BAY
-70.8973,42.2424,45,38816,15122,20942,5001,2.0022,72770.2,NEAR OCEAN
-71.1643,42.3039,40,1071,389,2377,90,7.3277,311045.72,NEAR OCEAN
-70.8778,42.3681,27,17780,7019,16945,2689,13.9853,478796.02,NEAR BAY
-71.0865,42.355,26,37056,14973,30512,6789,13.174,77740.47,RIVER
-71.1291,42.2358,13,29850,9169,4656,1222,2.2508,472238.43,RIVER
-70.8818,42.2801,5,20842,7616,34876,14738,8.3097,248102.78,ISLAND
-71.1022,42.3866,21,16910,5172,24899,4828,5.9194,38993.77,RIVER
-70.8282,42.2926,4,8986,4018,4242,1817,14.3059,91695.51,RIVER
-70.879,42.3819,42,28817,10524,26323,2924,1.2397,392041.86,INLAND
-70.8697,42.2469,13,35631,17251,22228,8173,8.4147,24785.37,NEAR OCEAN
-70.9961,42.2495,41,32948,15333,26854,3423,3.1624,305082.46,NEAR OCEAN
-70.9222,42.3185,20,6690,2538,7448,1555,6.2563,474279.33,ISLAND
-71.1356,42.3859,35,3772,1313,25030,2478,1.3378,22768.45,INLAND
-70.9749,42.2315,29,23998,10922,24410,10922,10.9629,192168.74,NEAR OCEAN
-70.9235,42.2579,29,31006,14286,4106,1179,14.0001,240987.54,ISLAND
-70.8781,42.3752,34,30936,13629,25393,1665,10.3431,180104.23,ISLAND
-70.8791,42.3155,8,33321,11020,4718,1637,7.1392,352736.07,NEAR OCEAN
-70.9933,42.283,35,8708,2819,13089,5509,11.625,483470.32,INLAND
-70.9926,42.2301,28,22809,9357,19147,7783,6.3525,221543.7,INLAND
-70.9249,42.2834,17,18355,7332,25472,4790,2.0475,394006.46,INLAND
-71.1649,42.376,21,20489,9136,21598,1169,9.5327,28445.92,NEAR BAY
-70.9901,42.316,48,13166,5351,7810,1058,2.9349,246286.98,NEAR OCEAN
-70.8174,42.3188,16,26095,12346,16984,5200,0.5425,350742.52,NEAR OCEAN
-70.8547,42.291,37,20675,7405,2037,543,11.503,254352.4,RIVER
-71.0552,42.3042,22,24208,9311,4764,189,4.1963,184819.15,RIVER
-70.8659,42.2634,13,15614,6222,16939,6962,14.1454,194511.25,ISLAND
-71.1355,42.2939,12,26483,8326,14608,1778,3.3141,130543.75,INLAND
-71.1735,42.3047,44,3203,1420,17976,8797,1.2026,97917.49,ISLAND
-70.949,42.34,16,34382,12645,10283,997,14.1367,133139.71,NEAR BAY
-71.1889,42.3571,21,5890,2635,9628,1742,11.9011,208125.17,NEAR OCEAN
-70.9672,42.2661,7,309,150,5979,2454,3.0435,368800.28,NEAR BAY
-71.0831,42.2443,17,9168,3792,35220,4804,14.9784,474084.8,ISLAND
-70.9271,42.3414,3,38319,17301,20422,1832,7.2319,216442.58,INLAND
-70.9842,42.359,38,21442,9199,13784,5079,5.1402,31834.74,RIVER
-70.9652,42.2461,6,31624,11190,14623,7149,6.0098,98896.54,ISLAND
-71.0006,42.2885,36,7833,3697,13852,30,1.9102,81354.27,RIVER
-70.8882,42.3713,27,9669,3255,26626,11451,3.4944,156456.88,NEAR BAY
-70.9015,42.3199,6,33346,10345,8062,3825,4.6324,260474.05,ISLAND
-70.8545,42.2498,30,2428,1145,24719,2286,12.2644,186636.25,NEAR BAY
-71.1076,42.2869,3,18902,7855,6723,1331,10.4906,488569.77,INLAND
-70.9559,42.3391,25,15244,5354,32054,6342,14.2394,230693.46,ISLAND
-71.1138,42.3551,23,26332,11600,9859,1187,8.9292,484910.08,INLAND
-70.8141,42.3127,14,21725,6873,15093,18,10.969,440696.29,RIVER
-71.186,42.2763,21,7992,3887,20400,5514,6.1922,229097.95,ISLAND
-70.8291,42.2563,20,38445,17335,17902,2708,4.3239,109996.05,NEAR BAY
-70.8214,42.2986,21,22420,6812,5860,849,9.9849,159944.97,NEAR BAY
-70.8622,42.2454,4,26804,11113,29440,9949,7.2073,108635.83,NEAR BAY
-70.8139,42.2434,33,25868,12851,19041,2382,5.8754,218457.48,INLAND
-71.1207,42.3939,16,5120,2526,28914,12348,1.0804,80482.31,NEAR BAY
-70.8988,42.2963,15,24357,10797,1745,263,13.3654,325833.13,NEAR BAY
-71.1879,42.3929,14,35228,11935,1356,180,8.7195,415906.82,NEAR BAY
-71.0143,42.3634,29,25846,8493,2354,1126,2.6628,433745.62,NEAR BAY
-71.0694,42.2993,24,38289,13860,16476,2396,10.4303,381208.49,NEAR OCEAN
-70.957,42.3639,1,22170,7140,17053,2486,0.9178,433076.35,NEAR OCEAN
-70.9554,42.2441,40,18298,8969,12172,2254,3.2282,141671.85,ISLAND
-70.9423,42.2927,20,30286,13591,32045,13993,8.9569,82311.81,INLAND
-71.0628,42.3558,19,3917,1868,29878,12208,12.0165,240901.4,NEAR OCEAN
-70.8297,42.3516,33,9113,3975,30990,4094,13.3673,354083.49,RIVER
-71.062,42.323,5,34965,13641,20787,4655,7.0602,113709.58,NEAR BAY
-70.9181,42.3958,32,13828,5118,28963,11556,13.7922,371065.52,RIVER
-70.9207,42.387,38,17610,8455,27244,5962,1.851,140975.68,RIVER
-71.0,42.2923,32,1094,366,21570,3430,11.2218,247980.45,NEAR OCEAN
-70.9232,42.2412,40,14414,6199,18990,8393,4.0833,123308.29,NEAR OCEAN
-70.8788,42.3123,10,34691,16541,1378,342,6.3069,116553.54,RIVER
-71.0486,42.363,20,29109,9596,20083,9674,14.0816,294119.42,INLAND
-71.0895,42.354,9,27238,10898,15044,868,12.9828,284319.84,ISLAND
-70.991,42.3708,29,9525,3558,23144,10835,10.4476,117564.97,NEAR OCEAN
-70.8876,42.3923,50,20967,10439,15257,6620,14.236,130578.97,NEAR OCEAN
-71.0092,42.2628,12,24036,8189,26730,10820,10.4407,452918.25,RIVER
-70.9629,42.2853,48,17168,7556,9701,3690,10.0825,424719.32,ISLAND
-70.8657,42.3736,8,2539,944,14772,4739,3.3162,361133.73,RIVER
-71.1724,42.3213,47,23093,8576,27823,8789,14.3323,124375.02,INLAND
-70.872,42.3839,8,19706,9146,12808,3899,1.8058,314635.22,NEAR OCEAN
-71.1173,42.2578,12,7659,2909,21752,3650,6.7255,172795.69,NEAR OCEAN
-71.1334,42.3421,36,27948,13622,26404,7456,11.2173,192026.1,NEAR OCEAN
-71.1623,42.3867,17,13653,6113,3351,1214,12.5237,441124.05,ISLAND
-70.8888,42.2997,17,23678,7684,32130,752,7.3612,231273.84,INLAND
-70.9056,42.3923,52,6735,2167,22386,2243,9.2006,426223.83,INLAND
-70.8892,42.3309,9,660,298,25164,9126,12.5207,461534.17,ISLAND
-71.1418,42.3631,18,25416,12045,33036,15545,11.1635,369475.16,ISLAND
-70.8149,42.3903,50,18398,8987,14906,5966,10.0778,360061.6,ISLAND
-70.8285,42.3426,34,14583,6366,2342,784,13.6804,372047.98,INLAND
-70.8278,42.2703,29,14745,6343,14369,1151,12.9591,411321.77,ISLAND
-70.8408,42.2387,1,3982,1875,21135,3959,4.7712,38923.5,NEAR OCEAN
-70.9807,42.2402,33,17729,8528,24501,10568,10.1121,42428.99,ISLAND
-70.9052,42.2309,20,13698,5401,16683,5691,2.3383,231065.41,NEAR BAY
-70.9123,42.2562,12,33006,10127,11554,3005,7.6319,393384.02,INLAND
-70.9485,42.2738,28,111,38,3918,430,12.5044,498322.92,ISLAND
-71.1131,42.2617,8,37320,16312,34581,12517,10.9944,427075.89,RIVER
-70.9093,42.2589,6,30865,12302,35098,16477,4.5418,172198.83,NEAR BAY
-70.8282,42.2899,38,35328,11439,21823,10811,10.7896,374159.18,NEAR BAY
-71.1249,42.2749,27,32210,10384,21453,4502,13.692,16251.1,INLAND
-71.1289,42.2862,52,30561,14318,17910,1378,14.8098,156669.73,NEAR OCEAN
-71.0892,42.2795,15,33782,16679,34473,3026,14.1499,426124.12,NEAR BAY
-70.8975,42.3826,41,15812,6856,5575,2064,1.1637,402137.58,ISLAND
-70.9867,42.3523,33,19846,6554,35032,10971,7.7203,497401.08,RIVER
-71.0716,42.2918,40,36031,17180,29386,14310,7.3119,226179.91,RIVER
-70.8871,42.3364,8,10570,4715,29957,13253,1.1727,309081.27,NEAR OCEAN
-70.8969,42.2279,14,37984,12448,12595,1015,11.6571,73186.91,NEAR BAY
-71.0302,42.356,46,23661,7866,27930,2735,6.0474,261081.83,NEAR OCEAN
-70.9581,42.38,3,34400,13353,34234,2531,11.7623,346718.37,NEAR BAY
-70.9383,42.3107,12,35381,11745,32791,7894,6.8805,242586.94,NEAR OCEAN
-70.817,42.355,25,4574,1837,3725,1334,2.0199,80681.75,NEAR OCEAN
-70.8921,42.335,5,20295,9534,7166,162,8.7289,290322.78,INLAND
-70.8124,42.239,41,16609,6860,28178,10333,2.5967,89883.45,RIVER
-71.0975,42.3319,10,6356,2451,12526,2793,4.6597,198165.22,RIVER
-70.9306,42.2454,8,26581,12887,26214,1126,8.4947,219955.86,INLAND
-71.1452,42.292,15,4513,2172,32628,7106,2.5144,398488.39,RIVER
-70.9363,42.2759,1,8572,4141,14636,345,13.1179,315412.24,NEAR OCEAN
-70.965,42.3489,50,30327,12572,30083,12666,4.6733,202751.9,NEAR OCEAN
-71.1067,42.306,20,19038,9216,24097,1751,7.3148,235772.95,ISLAND
-70.9352,42.2774,31,26605,8350,27781,11829,5.428,246965.32,RIVER
-71.0593,42.3082,40,27008,9725,27726,10388,9.4559,179195.65,RIVER
-70.9447,42.3852,48,4831,2345,9356,1642,2.7569,24531.21,ISLAND
-70.8436,42.2851,41,22979,9293,8644,1933,6.1583,448656.97,NEAR OCEAN
-71.0584,42.3009,7,12011,5175,9521,3193,5.9845,462423.53,INLAND
-70.8878,42.3174,26,15669,5809,25154,11141,12.0987,291552.93,NEAR OCEAN
-71.0063,42.3326,17,14986,5237,7488,2044,13.5972,137115.15,ISLAND
